feature,weighted_importance
oil_liquid_ratio,226885663.57191092
well_日产液(t)_std,22162390.487271205
ID,8162161.111437606
layer_encoded,5863819.556906613
生产时间_ema_30,5054873.839146908
纵坐标(m),4404134.051813144
日产液(t)_rolling_max_30,4286451.763503947
日产油(t),3275207.931506628
生产时间,3129812.8205341045
日产液(t)_ema_30,2639110.468404079
well_日产液(t)_mean,2606658.149181977
monthly_日产液(t)_mean,1869639.773750141
year,1199003.1554271546
日产液(t),1094866.8158956612
横坐标(m),666726.2167137193
monthly_日产液(t)_std,529679.1308701272
min_dist_to_water_well,428854.67179854773
well_日产液(t)_max,409045.8534945748
日产液(t)_rolling_std_30,351726.3358623715
生产时间_ema_7,346293.68453009526
日产液(t)_ema_7,138459.60300216934
日产液(t)_pct_change_7,138412.54648350165
well_encoded,131259.42851750413
production_efficiency,124959.66780856624
日产液(t)_rolling_max_7,97432.60468928031
nearest_water_well_count_1km,91110.75082806603
日产液(t)_diff_7,89415.16164406162
well_生产时间_std,80738.31971004419
avg_dist_to_nearest_3_water_wells,80576.10081107849
日产液(t)_rolling_max_14,76293.15729856724
dayofyear,74582.71032594229
日产液(t)_lag_30,71883.96000227409
日产液(t)_rolling_mean_30,65178.0400729026
生产时间_rolling_std_30,60803.17571970084
生产时间_rolling_min_30,46465.300786373045
生产时间_rolling_mean_30,41210.314898625176
生产时间_lag_14,40388.311971218645
month,31607.02032418296
生产时间_rolling_mean_14,24504.0452549248
日产液(t)_rolling_max_3,22090.596744874027
日产液(t)_rolling_mean_7,19320.534685776205
生产时间_rolling_max_7,18862.640680192388
日产液(t)_lag_7,18587.13010356021
生产时间_rolling_min_7,13453.899913739275
日产液(t)_lag_14,9316.57012773845
well_生产时间_mean,8353.640113432295
生产时间_rolling_mean_7,8059.880145807983
day,7839.979957787247
日产液(t)_lag_3,4839.615022421611
日产液(t)_rolling_std_14,4309.415077315523
生产时间_rolling_max_30,4307.840318582021
日产液(t)_rolling_std_7,4283.270163582798
生产时间_rolling_std_14,2965.5300503941617
生产时间_lag_7,2812.8049793466125
生产时间_diff_7,2245.6202428434917
生产时间_rolling_std_7,1586.2900352973338
日产液(t)_rolling_mean_14,931.2900246619283
生产时间_pct_change_7,643.8954709160898
生产时间_rolling_min_3,0.002156112575903535
生产时间_lag_1,0.00021186104277148843
生产时间_lag_30,0.00017997536633629352
日产液(t)_rolling_std_3,0.00016077529289759696
生产时间_diff_1,0.0001474344899179414
生产时间_rolling_max_3,0.0001457570178899914
生产时间_rolling_mean_3,8.923722634790465e-05
日产液(t)_diff_1,8.514407818438485e-05
日产液(t)_lag_1,6.742221012245864e-05
日产液(t)_rolling_mean_3,6.725537241436541e-05
生产时间_lag_3,6.551219121320173e-05
quarter,4.938875645166263e-05
生产时间_rolling_std_3,4.746953709400259e-05
dayofweek,4.6610712161054835e-05
生产时间_pct_change_1,3.75113777408842e-05
生产时间_rolling_max_14,3.386366370250471e-05
日产液(t)_rolling_min_30,2.1073246898595244e-05
is_month_end,1.9595521735027432e-05
日产液(t)_rolling_min_7,1.9079756384599023e-05
日产液(t)_rolling_min_3,1.8254777387483045e-05
日产液(t)_pct_change_1,1.1954020010307431e-05
日产液(t)_rolling_min_14,1.0505731552257203e-05
is_month_start,9.394271728524473e-06
生产时间_rolling_min_14,5.4856741371622775e-06
is_weekend,4.788615569850663e-06
well_日产液(t)_min,0.0
